total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts
7.0,129.34,52.17,18.0,0.0
22.0,24.18,9.19,15.0,7.0
2.0,32.18,90.69,50.0,2.0
25.0,26.85,11.22,16.0,10.0
7.0,125.45,34.19,30.0,3.0
12.0,199.56,43.39,20.0,3.0
23.0,43.48,13.11,12.0,10.0
27.0,46.58,7.2,14.0,7.0
9.0,35.1,9.24,25.0,8.0
30.0,40.69,16.34,21.0,8.0
5.0,62.6,77.2,49.0,2.0
6.0,60.77,78.66,53.0,4.0
13.0,105.96,40.82,21.0,6.0
21.0,26.34,14.85,14.0,7.0
13.0,100.0,28.4,20.0,2.0
15.0,101.29,51.21,21.0,2.0
28.0,21.48,5.64,9.0,5.0
15.0,48.23,5.76,19.0,11.0
9.0,167.25,42.02,23.0,2.0
24.0,42.0,22.01,17.0,9.0
4.0,37.21,97.61,50.0,3.0
25.0,23.37,25.43,10.0,9.0
22.0,20.49,13.49,16.0,6.0
5.0,53.25,118.66,43.0,0.0
6.0,55.45,85.37,46.0,0.0
9.0,167.57,50.32,21.0,2.0
6.0,29.86,65.17,54.0,0.0
5.0,196.93,51.28,22.0,3.0
3.0,71.22,76.43,54.0,2.0
9.0,180.97,41.96,13.0,4.0
7.0,177.98,42.14,23.0,1.0
10.0,159.86,51.02,17.0,0.0
17.0,13.66,22.08,11.0,9.0
13.0,145.42,36.43,13.0,2.0
3.0,54.62,89.83,51.0,1.0
22.0,46.98,26.84,17.0,9.0
12.0,117.71,47.02,9.0,3.0
7.0,73.25,115.03,63.0,0.0
12.0,187.29,52.41,20.0,3.0
24.0,29.22,23.46,21.0,11.0
16.0,45.23,10.94,12.0,12.0
6.0,55.15,60.26,49.0,1.0
5.0,38.11,99.57,54.0,0.0
29.0,11.88,14.92,14.0,9.0
22.0,11.48,20.79,16.0,16.0
22.0,18.26,29.67,18.0,10.0
6.0,119.62,42.21,21.0,1.0
16.0,158.27,57.66,16.0,5.0
6.0,49.86,80.43,58.0,2.0
18.0,16.87,17.0,13.0,9.0
8.0,37.37,87.37,37.0,1.0
12.0,197.09,30.09,20.0,5.0
